arrlist,1000,9.00,ns/add
arrlist,10000,7.60,ns/add
arrlist,100000,6.77,ns/add
arrlist,500000,7.36,ns/add
arrlist,1000000,8.64,ns/add
arrlist,2000000,8.17,ns/add
kvec,1000,6.00,ns/add
kvec,10000,2.50,ns/add
kvec,100000,2.65,ns/add
kvec,500000,2.68,ns/add
kvec,1000000,2.94,ns/add
kvec,2000000,2.59,ns/add
garray,1000,9.00,ns/add
garray,10000,7.40,ns/add
garray,100000,7.57,ns/add
garray,500000,7.34,ns/add
garray,1000000,8.81,ns/add
garray,2000000,6.97,ns/add
khash,1000,195.00,ns/ins
khash,1000,48.00,ns/del
khash,10000,130.30,ns/ins
khash,10000,41.50,ns/del
khash,100000,328.57,ns/ins
khash,100000,91.82,ns/del
khash,500000,331.21,ns/ins
khash,500000,58.33,ns/del
khash,1000000,345.13,ns/ins
khash,1000000,66.04,ns/del
khash,2000000,312.73,ns/ins
khash,2000000,60.83,ns/del
rhmap,1000,628.00,ns/ins
rhmap,1000,76.00,ns/del
rhmap,10000,418.80,ns/ins
rhmap,10000,71.30,ns/del
rhmap,100000,1543.45,ns/ins
rhmap,100000,79.41,ns/del
rhmap,500000,903.49,ns/ins
rhmap,500000,119.10,ns/del
rhmap,1000000,2009.36,ns/ins
rhmap,1000000,233.01,ns/del
rhmap,2000000,4631.44,ns/ins
rhmap,2000000,112.71,ns/del
htab,1000,33.00,ns/ins
htab,10000,38.30,ns/ins
htab,100000,49.93,ns/ins
htab,500000,178.92,ns/ins
htab,1000000,295.02,ns/ins
htab,2000000,310.76,ns/ins
ghashmap,1000,83.00,ns/ins
ghashmap,1000,50.00,ns/ins
ghashmap,10000,56.50,ns/ins
ghashmap,10000,40.00,ns/ins
ghashmap,100000,51.19,ns/ins
ghashmap,100000,35.47,ns/ins
ghashmap,500000,105.51,ns/ins
ghashmap,500000,73.62,ns/ins
ghashmap,1000000,121.25,ns/ins
ghashmap,1000000,90.91,ns/ins
ghashmap,2000000,132.27,ns/ins
ghashmap,2000000,98.34,ns/ins
